name,group,owner,language,homepage,streamUrl,bitrate,codec,logo,genres,nowPlayingApi,fm,dab,geo,rpuId,wikidata,catalogId,inCatalog
Sunshine Radio,CH Media,,de,https://www.sunshine.ch/,https://stream.streambase.ch/rsunshine/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756138/600/600/l45cehu2.png,News|Hit-Chart,CH Media,,Y,"0,0",NzU2fjEzOA,,ch-sunshine-radio-switzerland,Y
Radio Swiss Classic (DE),SRG SSR · Radio Swiss,,de,https://console.swissradioplayer.ch/stations/live/10004/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/rsc_de/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/75610004/600/600/l458uan8.png,Classical Music,,,,,NzU2fjEwMDA0,,,
Radio Swiss Jazz,SRG SSR · Radio Swiss,Swiss Broadcasting Corporation,de,https://console.swissradioplayer.ch/stations/live/10005/index.html,https://stxt-audiostreaming.akamaized.net/hls/live/2117380/rsj/variant-96.m3u8,96,application/vnd.apple.mpegurl,https://assets.radioplayer.org/756/75610005/600/600/l5ustq4n.png,Jazz,,,,,NzU2fjEwMDA1,,,
Radio Swiss Pop,SRG SSR · Radio Swiss,Swiss Broadcasting Corporation,de,https://console.swissradioplayer.ch/stations/live/185/index.html,https://stream.srg-ssr.ch/m/rsp/mp3_128,128,mpeg,https://assets.radioplayer.org/756/756185/600/600/l459hngh.png,Pop,,,,"46.948,7.447",NzU2fjE4NQ,,builtin-radio-swiss-pop,Y
RADIO TOP ... das Beste aus vier Jahrzehnten,independent / community,,de,https://streaming2.toponline.ch/srptopv5/,https://radiotop.ice.infomaniak.ch/radiotop96.aac,96,aac,https://assets.radioplayer.org/756/756152/11/1134-molfvauq.png,Pop|Rock,Infomaniak (Romandie),,,,NzU2fjE1Mg,,,
toxic.fm,independent / community,,de,https://player.toxic.fm/,https://toxicfm.ice.infomaniak.ch/toxicfm-128.mp3,128,mpeg,https://assets.radioplayer.org/756/756143/600/600/l6yv13xj.png,Dance / Dance-Pop,Infomaniak (Romandie),,Y,"0,0",NzU2fjE0Mw,,ch-toxic-fm,Y
Vertical Radio,,,,https://www.verticalradio.ch/,https://verticalradio.ice.infomaniak.ch/verticalradio-128.aac,128,aac,https://assets.radioplayer.org/756/7565017/11/1128-m6qcit42.jpeg,Rock|Alternative / Indie,Infomaniak (Romandie),,,"46.948,7.447",NzU2fjUwMTc,,ch-vertical-radio,Y
Vibration 108,independent,,fr,https://www.vibration108.ch,https://vibration108-high.ice.infomaniak.ch/vibration108-high.mp3,192,mpeg,https://assets.radioplayer.org/756/7565019/600/600/l459t2ca.png,Hit-Chart|Pop,Infomaniak (Romandie),,,,NzU2fjUwMTk,,,
Virgin Radio Switzerland,CH Media,,de,https://virginradio.ch,https://stream.streambase.ch/vrock/mp3-192,192,mpeg,https://assets.radioplayer.org/756/756131/600/600/l45dtmql.png,News,CH Media,,,"47.4184,8.5552",NzU2fjEzMQ,,ch-virgin-radio-switzerland,Y
Radio VOLARE,,,,http://www.radiovolare.com/player.ch/,https://ice12.fluidstream.net/rvolare_ch.mp3,112,mpeg,https://assets.radioplayer.org/756/756167/600/600/l458orrt.png,Pop|Chanson / Ballad,,,,,NzU2fjE2Nw,,,
Radio X Basel,independent / community,,de,https://static.radiox.ch/srp/,https://mp3.radiox.ch/standard.mp3,192,mpeg,https://assets.radioplayer.org/756/756142/600/600/l5uoirf3.png,Alternative / Indie,,,,"47.56,7.589",NzU2fjE0Mg,,ch-radio-x,Y
Radio Zürisee,independent / community,,de,https://www.radio.ch/swiss-radioplayer/,https://mp3.radio.ch/radiozuerisee256kswiss-radio-player,256,mpeg,https://assets.radioplayer.org/756/756149/600/600/lh1h61jb.png,Hit-Chart|Pop,,,Y,"0,0",NzU2fjE0OQ,,ch-radio-zurisee-9626c282,Y
80er 90er Pophits,independent / community,,de,https://www.radio.ch/swiss-radioplayer-eighties/,https://zurisee.api.radiosphere.io/channels/80er-90er-pophits/stream.mp3,256,mpeg,https://assets.radioplayer.org/756/756201/600/600/m32s1xyp.jpeg,1980s,,,,"0,0",NzU2fjIwMQ,,ch-radio-zurisee-9626c282,Y
80er 90er Rockhits,independent / community,,de,https://www.radio.ch/swiss-radioplayer-rock/,https://zurisee.channels.radiosphere.io/80er-90er-rockhits/stream.mp3,128,mpeg,https://assets.radioplayer.org/756/756187/600/600/m32s7d0o.jpeg,Rock,,,,"0,0",NzU2fjE4Nw,,ch-radio-zurisee-9626c282,Y
